total_population,median_income,unemployed,labor_force,housing_units,state_name,state,year,data_source,unemployment_rate
870638,58275,15736,462290,344397,South Dakota,46,2019,ACS_5yr_2019,3.403923944
6709356,53320,172799,3301501,2597292,Tennessee,47,2019,ACS_5yr_2019,5.233952678
28260856,61874,708827,14055852,9691647,Texas,48,2019,ACS_5yr_2019,5.042931585
3096848,71621,55539,1557215,977313,Utah,49,2019,ACS_5yr_2019,3.566559531
624313,61973,12323,341932,260029,Vermont,50,2019,ACS_5yr_2019,3.603932946
8454463,74222,200850,4477253,3151045,Virginia,51,2019,ACS_5yr_2019,4.486009613
7404107,73775,187330,3834480,2848396,Washington,53,2019,ACS_5yr_2019,4.885408191
1817305,46711,51910,794126,732585,West Virginia,54,2019,ACS_5yr_2019,6.536746058
5790716,61747,111564,3097113,2358156,Wisconsin,55,2019,ACS_5yr_2019,3.602193398
581024,64049,13544,305004,230101,Wyoming,56,2019,ACS_5yr_2019,4.4405975
4893186,52035,125343,2259980,1888504,Alabama,1,2020,ACS_5yr_2020,5.546199524
736990,77790,26429,386787,255173,Alaska,2,2020,ACS_5yr_2020,6.832959743
7174064,61529,199358,3436482,2643430,Arizona,4,2020,ACS_5yr_2020,5.801223461
3011873,49475,71704,1386758,1170544,Arkansas,5,2020,ACS_5yr_2020,5.170620974
39346023,78672,1229079,20016955,13103114,California,6,2020,ACS_5yr_2020,6.140189654
5684926,75231,142722,3115754,2137402,Colorado,8,2020,ACS_5yr_2020,4.580656881
3570549,79855,116234,1933145,1385437,Connecticut,9,2020,ACS_5yr_2020,6.012689167
967679,69110,28334,489325,370953,Delaware,10,2020,ACS_5yr_2020,5.790425586
701974,90842,29290,414396,288307,District of Columbia,11,2020,ACS_5yr_2020,7.068118418
21216924,57703,556113,10308068,7931313,Florida,12,2020,ACS_5yr_2020,5.394929486
10516579,61224,291506,5254983,3830264,Georgia,13,2020,ACS_5yr_2020,5.547230124
1420074,83173,32187,750350,467932,Hawaii,15,2020,ACS_5yr_2020,4.289598188
1754367,58915,35955,858590,649299,Idaho,16,2020,ACS_5yr_2020,4.187679801
12716164,68428,395142,6650033,4884061,Illinois,17,2020,ACS_5yr_2020,5.941955476
6696893,58235,159865,3383365,2602770,Indiana,18,2020,ACS_5yr_2020,4.725029667
3150011,61836,65738,1679440,1273941,Iowa,19,2020,ACS_5yr_2020,3.914280951
2912619,61091,61359,1523349,1141985,Kansas,20,2020,ACS_5yr_2020,4.027901682
4461952,52238,113295,2121356,1748053,Kentucky,21,2020,ACS_5yr_2020,5.340687749
4664616,50800,142088,2185171,1751956,Louisiana,22,2020,ACS_5yr_2020,6.502374414
1340825,59489,28442,706220,569551,Maine,23,2020,ACS_5yr_2020,4.027356914
6037624,87063,167571,3275954,2230527,Maryland,24,2020,ACS_5yr_2020,5.115181715
6873003,84385,193769,3815083,2646980,Massachusetts,25,2020,ACS_5yr_2020,5.079024493
9973907,59234,298142,4961054,3980408,Michigan,26,2020,ACS_5yr_2020,6.009650369
5600166,73382,117117,3078339,2207988,Minnesota,27,2020,ACS_5yr_2020,3.80455174
2981835,46511,95379,1351695,1116649,Mississippi,28,2020,ACS_5yr_2020,7.056251595
6124160,57290,138673,3090253,2440212,Missouri,29,2020,ACS_5yr_2020,4.487431935
1061705,56539,22541,545629,436048,Montana,30,2020,ACS_5yr_2020,4.131195373
1923826,63015,35114,1040763,766663,Nebraska,31,2020,ACS_5yr_2020,3.3738709
3030281,62043,100222,1534671,1130011,Nevada,32,2020,ACS_5yr_2020,6.530520222
1355244,77923,28479,761007,539116,New Hampshire,33,2020,ACS_5yr_2020,3.742278323
8885418,85245,271795,4709106,3272054,New Jersey,34,2020,ACS_5yr_2020,5.771689998
2097021,51243,62580,962807,792755,New Mexico,35,2020,ACS_5yr_2020,6.499745016
19514849,71117,570570,10032721,7417224,New York,36,2020,ACS_5yr_2020,5.687091269
10386227,56642,278344,5210600,4031592,North Carolina,37,2020,ACS_5yr_2020,5.341880014
760394,65315,12861,421736,320873,North Dakota,38,2020,ACS_5yr_2020,3.0495381
